TIMESTAMP;POSITION;SPEED;LOAD;POWER;TORQUEREF;SEQFREQ
2024-11-12 18:03:27.996285;249551039;-1000.8;12.6;-22;11;51.282051282051285
2024-11-12 18:03:28.041336;249520383;-428.9;10.1;-2;9;51.282051282051285
2024-11-12 18:03:28.086297;249511587;-74.6;8.6;1;8;51.282051282051285
2024-11-12 18:03:28.131579;249511233;2.6;7.9;1;8;51.282051282051285
2024-11-12 18:03:28.176374;249512043;30.4;7.7;3;8;51.282051282051285
2024-11-12 18:03:28.221333;249517408;160.9;7.9;6;9;51.282051282051285
2024-11-12 18:03:28.266311;249527580;223.3;8.8;8;9;51.282051282051285
2024-11-12 18:03:28.311350;249541594;310.8;8.8;12;10;51.282051282051285
2024-11-12 18:03:28.356289;249561440;483.5;10.3;21;11;51.282051282051285
2024-11-12 18:03:28.401539;249592584;731.0;11.5;33;13;51.282051282051285
2024-11-12 18:03:28.446299;249637696;942.2;13.2;49;16;51.282051282051285
2024-11-12 18:03:28.491354;249689752;1160.1;17.0;68;19;51.282051282051285
2024-11-12 18:03:28.536301;249749944;1314.0;19.0;80;20;51.282051282051285
2024-11-12 18:03:28.581346;249814281;1356.3;19.6;83;20;51.282051282051285
